quarter,test_date,n_models_before,n_models,drop_metric,drop_prop,comb_bic,comb_rmse,comb_equal,p10,p25,median,p75,p90,mean,sd,min,max,trimmed_mean,trimmed_low,trimmed_high,trimmed_range,y_true
2023Q3,2023-07-07,92,79,rmse,0.15,3.64983851172507,3.71000266163201,3.70952967709756,3.10267588544839,3.46467399638774,3.72369833458933,3.89145616052515,4.45208547730435,3.70952967709756,0.58462132620004,1.54301707798921,5.13807179053555,3.72343442509723,3.10267588544839,4.45208547730435,1.34940959185596,0.347146908315565
2023Q3,2023-07-14,92,79,rmse,0.15,3.64983851172507,3.71000266163201,3.70952967709756,3.10267588544839,3.46467399638774,3.72369833458933,3.89145616052515,4.45208547730435,3.70952967709756,0.58462132620004,1.54301707798921,5.13807179053555,3.72343442509723,3.10267588544839,4.45208547730435,1.34940959185596,0.347146908315565
2023Q3,2023-07-21,92,79,rmse,0.15,3.64983851172507,3.71000266163201,3.70952967709756,3.10267588544839,3.46467399638774,3.72369833458933,3.89145616052515,4.45208547730435,3.70952967709756,0.58462132620004,1.54301707798921,5.13807179053555,3.72343442509723,3.10267588544839,4.45208547730435,1.34940959185596,0.347146908315565
2023Q3,2023-07-28,92,79,rmse,0.15,3.64983851172507,3.71000266163201,3.70952967709756,3.10267588544839,3.46467399638774,3.72369833458933,3.89145616052515,4.45208547730435,3.70952967709756,0.58462132620004,1.54301707798921,5.13807179053555,3.72343442509723,3.10267588544839,4.45208547730435,1.34940959185596,0.347146908315565
2023Q3,2023-08-04,92,79,rmse,0.15,3.72919376672703,3.73383767797847,3.73827180948422,3.06464512429972,3.4701344483471,3.71432091571784,3.9101562844579,4.40728661792334,3.73827180948422,0.643712677802084,1.43960295481819,5.67863301800785,3.72792291240494,3.06464512429972,4.40728661792334,1.34264149362362,0.347146908315565
2023Q3,2023-08-11,92,79,rmse,0.15,3.808370776339,3.82012576495898,3.82652169729979,3.36773052215473,3.58916129519415,3.72504121164148,3.97406134067286,4.35979755666825,3.82652169729979,0.5206534097869,2.57509858500699,5.70936480435296,3.77661754431657,3.36773052215473,4.35979755666825,0.99206703451352,0.347146908315565
2023Q3,2023-08-18,92,79,rmse,0.15,3.808370776339,3.82012576495898,3.82652169729979,3.36773052215473,3.58916129519415,3.72504121164148,3.97406134067286,4.35979755666825,3.82652169729979,0.5206534097869,2.57509858500699,5.70936480435296,3.77661754431657,3.36773052215473,4.35979755666825,0.99206703451352,0.347146908315565
2023Q3,2023-08-25,92,79,rmse,0.15,3.808370776339,3.82012576495898,3.82652169729979,3.36773052215473,3.58916129519415,3.72504121164148,3.97406134067286,4.35979755666825,3.82652169729979,0.5206534097869,2.57509858500699,5.70936480435296,3.77661754431657,3.36773052215473,4.35979755666825,0.99206703451352,0.347146908315565
2023Q3,2023-09-01,92,79,rmse,0.15,3.69301942905145,3.69494823043994,3.69296632770535,3.16022755399039,3.57782089294438,3.70789183832237,3.82555568681986,4.02870000452832,3.69296632770535,0.608858826668506,2.02778547897494,7.43860831854586,3.67952786748592,3.16022755399039,4.02870000452832,0.868472450537934,0.347146908315565
2023Q3,2023-09-08,92,79,rmse,0.15,3.8083929267325,3.80911853574041,3.80893185667303,3.45364218561393,3.63619260219871,3.7203070775878,3.92613065120153,4.13600347703738,3.80893185667303,0.600505074379144,1.7214810818343,6.32113790211663,3.75205852779907,3.45364218561393,4.13600347703738,0.682361291423452,0.347146908315565
