quarter,test_date,variable,metric_value,included,weight_bic,weight_rmse,y_hat
2023Q3,2023-07-07,DA3m_IPCA_EX0,2.49417868695584,TRUE,0.0156392343387465,0.0106209459699911,3.15759070571404
2023Q3,2023-07-07,DA3m_IPCA_EX1,3.30522239080132,FALSE,,,3.04199242704246
2023Q3,2023-07-07,DA3m_IPCA_EX2,2.40300633019438,TRUE,0.00962644978945356,0.0114421726743712,3.65160844550063
2023Q3,2023-07-07,DA3m_IPCA_MA,2.55102115329711,TRUE,0.012403103911538,0.0101529023103184,2.10922446678095
2023Q3,2023-07-07,DA3m_IPCA_MS,3.23175281263624,FALSE,,,1.08343502575514
2023Q3,2023-07-07,DA3m_IPCDG,2.46020384409577,TRUE,0.0113942550641958,0.0109163170741237,3.89294560216202
2023Q3,2023-07-07,DA3m_IPCG,2.27025901917783,TRUE,0.0111188105697953,0.0128193943577159,3.72369833458933
2023Q3,2023-07-07,DA3m_IPCI,2.16406743307147,TRUE,0.0090546971396964,0.0141083669975534,3.8336954824201
2023Q3,2023-07-07,DA3m_IPCIG,2.38943482831287,TRUE,0.0130866001576846,0.0115725202081789,3.71928144185837
2023Q3,2023-07-07,DA3m_IPKG,2.35679416599549,TRUE,0.0182375273491995,0.0118952895595719,1.54301707798921
2023Q3,2023-07-07,DA3m_IPME,2.290229727182,TRUE,0.0180688575625799,0.0125967999429971,3.49856025454911
2023Q3,2023-07-07,DA3m_IPMI,2.63214660483856,FALSE,,,3.04022191777437
2023Q3,2023-07-07,DA3m_IPSDG,2.18969115729998,TRUE,0.013660968396597,0.0137801072620205,3.80192082246558
2023Q3,2023-07-07,DA3m_IP_US,2.15172263749828,TRUE,0.0121997458302743,0.0142707155364678,4.17875700596113
2023Q3,2023-07-07,DA3m_ISA_S,2.18781551119684,TRUE,0.0182603263258173,0.0138037451635618,3.72249505686311
2023Q3,2023-07-07,DA3m_M1,2.32731386879335,TRUE,0.012213418038876,0.0121985556578466,3.12439629782727
